,${\it VShare}$,${\it VShare}^{\it In}$,${\it VShare}^{\it Out}$,${\it BorrowAPY}^{USD}$,${\it SupplyAPY}^{USD}$,${\it SupplyShare}$,${\it BorrowShare}$,${\it LiquidityShare}$,${\it EigenCent}^{In}$,${\it EigenCent}^{Out}$,${\it BetwCent}^C$,${\it BetwCent}^V$,${R}^{\it USD}$,${\it CovGas}$,${\it CovETH}$,${\it CovSP}$,${\it \sigma}^{USD}$,${	 GasPrice}$,${\i Nonstable}$,${\i IsWETH}$,beta,cov_semtiment,average_return,${\it MCap}^{USD}$,${\it ExchangeRate}^{USD}$
betweenness_centrality_count,0.86,0.86,0.86,-0.3,-0.28,0.46,-0.18,0.87,0.69,0.69,1.0,0.95,0.01,0.07,0.09,0.05,0.0,-0.01,0.04,0.96,0.13,0.01,0.05,-0.1,-0.04
betweenness_centrality_volume,0.81,0.81,0.81,-0.27,-0.24,0.43,-0.14,0.83,0.65,0.65,0.95,1.0,0.01,0.07,0.07,0.02,-0.01,-0.02,0.02,0.85,0.11,0.0,0.06,-0.06,-0.04
log_return,0.01,0.02,0.01,-0.0,-0.01,0.01,0.0,0.02,0.02,0.01,0.01,0.01,1.0,0.15,-0.06,-0.11,-0.12,-0.02,-0.0,0.01,-0.04,0.03,0.21,-0.0,0.0
cov_gas,0.06,0.06,0.06,0.01,-0.02,-0.0,0.01,0.07,0.06,0.06,0.07,0.07,0.15,1.0,-0.59,-0.65,-0.65,0.06,-0.08,0.03,-0.16,0.27,0.64,0.03,0.03
cov_eth,-0.01,-0.01,-0.01,-0.03,-0.32,0.06,-0.34,-0.04,-0.08,-0.08,0.09,0.07,-0.06,-0.59,1.0,0.95,0.66,-0.09,0.47,0.1,0.55,-0.23,-0.35,0.02,0.02
cov_sp,-0.03,-0.03,-0.03,-0.03,-0.34,0.02,-0.39,-0.06,-0.09,-0.1,0.05,0.02,-0.11,-0.65,0.95,1.0,0.74,-0.06,0.5,0.09,0.63,-0.24,-0.47,0.04,0.06
std,-0.09,-0.09,-0.09,-0.01,-0.43,-0.05,-0.51,-0.11,-0.13,-0.14,0.0,-0.01,-0.12,-0.65,0.66,0.74,1.0,-0.02,0.48,0.03,0.52,-0.25,-0.63,-0.02,-0.01
Gas_fee,-0.01,-0.01,-0.01,0.0,0.08,-0.04,-0.03,-0.01,-0.01,-0.01,-0.01,-0.02,-0.02,0.06,-0.09,-0.06,-0.02,1.0,0.05,-0.01,-0.03,0.0,0.06,0.11,0.14
Nonstable,-0.17,-0.17,-0.17,0.0,-0.36,-0.3,-0.65,-0.21,-0.27,-0.27,0.04,0.02,-0.0,-0.08,0.47,0.5,0.48,0.05,1.0,0.07,0.74,-0.12,-0.01,-0.26,0.24
IsWETH,0.83,0.83,0.83,-0.0,-0.15,0.5,-0.08,0.79,0.69,0.69,0.96,0.85,0.01,0.03,0.1,0.09,0.03,-0.01,0.07,1.0,0.14,0.0,0.02,-0.05,-0.03
beta,-0.01,-0.01,-0.01,-0.03,-0.46,-0.03,-0.55,-0.04,-0.1,-0.1,0.13,0.11,-0.04,-0.16,0.55,0.63,0.52,-0.03,0.74,0.14,1.0,-0.16,-0.17,0.08,0.12
cov_semtiment,0.04,0.04,0.04,0.02,0.07,0.01,0.08,0.04,0.05,0.05,0.01,0.0,0.03,0.27,-0.23,-0.24,-0.25,0.0,-0.12,0.0,-0.16,1.0,0.17,-0.02,-0.03
average_return,0.04,0.04,0.04,-0.0,0.01,0.07,0.01,0.05,0.05,0.05,0.05,0.06,0.21,0.64,-0.35,-0.47,-0.63,0.06,-0.01,0.02,-0.17,0.17,1.0,0.02,0.02
mcap,0.24,0.24,0.24,-0.0,0.25,-0.07,0.16,0.22,0.34,0.34,-0.1,-0.06,-0.0,0.03,0.02,0.04,-0.02,0.11,-0.26,-0.05,0.08,-0.02,0.02,1.0,0.52
dollar_exchange_rate,-0.03,-0.03,-0.03,-0.03,-0.32,-0.02,-0.24,0.03,-0.01,-0.01,-0.04,-0.04,0.0,0.03,0.02,0.06,-0.01,0.14,0.24,-0.03,0.12,-0.03,0.02,0.52,1.0
